question1,value1,question2,value2,p_value,effect_size,test,segment,segment_valid,insight
QfUK - What is your child's ethnic group?,White - Includes any White background,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,0.02323011565320655,0.17761042045321138,Chi-square,ALL,True,White - Includes any White background fans are 82% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
QfUK - What is your child's ethnic group?,White - Includes any White background,Please tell us three toys or toy brands that you like right now. Please tell us three toys or toy brands that your child likes right now. 1,Lego,0.0032586038238386268,0.7225881940613119,Chi-square,ALL,True,White - Includes any White background fans are 28% less likely to say 'Lego' is their favourite when it comes to please tell us three toys or toy brands that you like right now. please tell us three toys or toy brands that your child likes right now. 1s.
QfUK - What is your child's ethnic group?,White - Includes any White background,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),0.028781594549557997,0.1328285811436393,Chi-square,ALL,True,White - Includes any White background fans are 87% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
HHI_UK - What is your annual household income? By this we mean the total annual income of everyone who lives in your household with you.,"£50,000 - £74,999",HidParentChild - dummy to punch who will take the survey:,Parent,0.0003755959079077558,0.2367274466198104,Chi-square,ALL,True,"£50,000 - £74,999 fans are 76% less likely to say 'Parent' is their favourite when it comes to hidparentchild - dummy to punch who will take the survey:s."
HHI_UK - What is your annual household income? By this we mean the total annual income of everyone who lives in your household with you.,"£50,000 - £74,999",TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing console games,Several times a week,0.006449587816785613,0.27713832693055507,Chi-square,ALL,True,"£50,000 - £74,999 fans are 72% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing console gamess."
HidParentChild - dummy to punch who will take the survey:,Parent,"TAG002 - Of all the activities you said you like doing, which one do you like the most? Of all the activities you said your child likes doing, which one do they like the most?",Watching YouTube,0.0028273437252560015,0.27189891115952963,Chi-square,ALL,True,"Parent fans are 73% less likely to say 'Watching YouTube' is their favourite when it comes to tag002 - of all the activities you said you like doing, which one do you like the most? of all the activities you said your child likes doing, which one do they like the most?s."
HidParentChild - dummy to punch who will take the survey:,Parent,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,0.016540070632580426,0.24970327535913167,Chi-square,ALL,True,Parent fans are 75% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching tv shows made for kids and/or teens at the time of broadcast on televisions.
HidParentChild - dummy to punch who will take the survey:,Parent,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing console games,Several times a week,0.03397040739309765,0.24055778495412608,Chi-square,ALL,True,Parent fans are 76% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing console gamess.
HidParentChild - dummy to punch who will take the survey:,Parent,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,2.2052785454689352e-05,0.2939098124344303,Chi-square,ALL,True,Parent fans are 71% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
HidParentChild - dummy to punch who will take the survey:,Parent,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),0.021758865870371177,0.16075120763352135,Chi-square,ALL,True,Parent fans are 84% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
HidParentChild - dummy to punch who will take the survey:,Parent,age_group,6-9,1.9421486256202107e-41,0.5219916415194907,Fisher's Exact,ALL,True,Parent fans are 48% less likely to say '6-9' is their favourite when it comes to age groups.
"TAG002 - Of all the activities you said you like doing, which one do you like the most? Of all the activities you said your child likes doing, which one do they like the most?",Watching YouTube,age_group,6-9,3.2828344922710915e-05,0.3159268243691303,Chi-square,ALL,True,Watching YouTube fans are 68% less likely to say '6-9' is their favourite when it comes to age groups.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,0.03376251169856119,0.27499152217108624,Chi-square,ALL,True,Everyday fans are 73% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? listening to musics.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,2.4874285215868046e-10,0.3502087825285115,Chi-square,ALL,True,Everyday fans are 65% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,0.019093446799172506,0.26508820603462074,Chi-square,ALL,True,Everyday fans are 73% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),0.02609775685843789,0.19385648547360168,Chi-square,ALL,True,Everyday fans are 81% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family  on a streaming service,Several times a week,1.8717613244419706e-07,0.28937320398412075,Chi-square,ALL,True,Everyday fans are 71% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching tv shows together as a family  on a streaming services.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching YouTube,Everyday,5.617629656600198e-09,0.311941371636964,Chi-square,ALL,True,Everyday fans are 69% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching youtubes.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing console games,Several times a week,0.0228019435735603,0.23505310020111683,Chi-square,ALL,True,Several times a week fans are 76% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing console gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,2.519795974073416e-09,0.28274534371293525,Chi-square,ALL,True,Everyday fans are 72% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,0.005144761868651526,0.19590588332553333,Chi-square,ALL,True,Everyday fans are 80% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens on a streaming service,Everyday,Which one toy can you not live without? Which one toy can your child not live without?,1,0.0026741617758480212,0.24287717869574724,Chi-square,ALL,True,Everyday fans are 76% less likely to say '1' is their favourite when it comes to which one toy can you not live without? which one toy can your child not live without?s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family  on a streaming service,Several times a week,3.023846618028351e-17,0.5264789122480215,Chi-square,ALL,True,Several times a week fans are 47% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching tv shows together as a family  on a streaming services.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing app games,Everyday,0.009496761536212145,0.30948920347048753,Chi-square,ALL,True,Everyday fans are 69% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing app gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing console games,Several times a week,0.01919724730132279,0.2913033626420699,Chi-square,ALL,True,Everyday fans are 71% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing console gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Reading,Everyday,0.032182007787236115,0.25655387044634553,Chi-square,ALL,True,Several times a week fans are 74% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? readings.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,0.0002573031269554183,0.30965348292858325,Chi-square,ALL,True,Several times a week fans are 69% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? listening to musics.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing/Spending time with friends,Several times a week,0.03668906148247573,0.21658230127834757,Chi-square,ALL,True,Several times a week fans are 78% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing/spending time with friendss.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,0.0377569533678833,0.2671194894020863,Chi-square,ALL,True,Several times a week fans are 73% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Several times a week,0.004588385838072285,0.27109379294509356,Chi-square,ALL,True,Several times a week fans are 73% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Everyday,"TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching sport in person, e.g., in a stadium, at a venue",Less often,0.04579524484979943,0.38822692340109205,Chi-square,ALL,True,"Everyday fans are 61% less likely to say 'Less often' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching sport in person, e.g., in a stadium, at a venues."
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family at the time of broadcast on television,Several times a week,age_group,6-9,0.0063571080370968865,0.256698559752361,Chi-square,ALL,True,Several times a week fans are 74% less likely to say '6-9' is their favourite when it comes to age groups.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family  on a streaming service,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing online games,Several times a week,2.2655923759995145e-07,0.42445012651363856,Chi-square,ALL,True,Several times a week fans are 58% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing online gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family  on a streaming service,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing/Spending time with friends,Several times a week,0.02530408073691739,0.20000783874978434,Chi-square,ALL,True,Several times a week fans are 80% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing/spending time with friendss.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows together as a family  on a streaming service,Several times a week,"TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching sport in person, e.g., in a stadium, at a venue",Less often,0.01895388190385357,0.373857431120679,Chi-square,ALL,True,"Several times a week fans are 63% less likely to say 'Less often' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching sport in person, e.g., in a stadium, at a venues."
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching YouTube,Everyday,Which one toy can you not live without? Which one toy can your child not live without?,1,0.020293269383053363,0.21220495635053147,Chi-square,ALL,True,Everyday fans are 79% less likely to say '1' is their favourite when it comes to which one toy can you not live without? which one toy can your child not live without?s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing app games,Everyday,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),5.317285885656263e-05,0.22798273517964227,Chi-square,ALL,True,Everyday fans are 77% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing console games,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Reading,Everyday,0.0009926994575263815,0.31179111856096314,Chi-square,ALL,True,Several times a week fans are 69% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? readings.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing online games,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,0.039217154160577326,0.3000004882740847,Chi-square,ALL,True,Several times a week fans are 70% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? listening to musics.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Reading,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,0.0005902797337051403,0.2338140614570526,Chi-square,ALL,True,Everyday fans are 77% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Taking part in an organised activity,At least once a week,0.00024092879041815165,0.350897949515523,Chi-square,ALL,True,Everyday fans are 65% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? taking part in an organised activities.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,6.082089652139864e-07,0.28615584176867975,Chi-square,ALL,True,Everyday fans are 71% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,9.315337483465022e-06,0.3808550086332541,Chi-square,ALL,True,Everyday fans are 62% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Listening to music,Everyday,Which one toy can you not live without? Which one toy can your child not live without?,1,0.01194153113123004,0.2335025399345278,Chi-square,ALL,True,Everyday fans are 77% less likely to say '1' is their favourite when it comes to which one toy can you not live without? which one toy can your child not live without?s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing/Spending time with friends,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,1.236597456362267e-06,0.2569512703708504,Chi-square,ALL,True,Several times a week fans are 74% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? going out with my families.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing/Spending time with friends,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,8.82015654850148e-06,0.3611682233034285,Chi-square,ALL,True,Several times a week fans are 64% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing/Spending time with friends,Several times a week,age_group,6-9,0.01808959589174006,0.22147875314935653,Chi-square,ALL,True,Several times a week fans are 78% less likely to say '6-9' is their favourite when it comes to age groups.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Taking part in an organised activity,At least once a week,0.00044978526546944977,0.3056347954790161,Chi-square,ALL,True,At least once a week fans are 69% less likely to say 'At least once a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? taking part in an organised activities.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,3.348243668250203e-14,0.32148684445635684,Chi-square,ALL,True,At least once a week fans are 68% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,0.0047513503404011375,0.2697685827727573,Chi-square,ALL,True,At least once a week fans are 73% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Going out with my family,At least once a week,Please tell us three toys or toy brands that you like right now. Please tell us three toys or toy brands that your child likes right now. 1,Lego,0.02856929198281626,0.7363964547560787,Chi-square,ALL,True,At least once a week fans are 26% less likely to say 'Lego' is their favourite when it comes to please tell us three toys or toy brands that you like right now. please tell us three toys or toy brands that your child likes right now. 1s.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Taking part in an organised activity,At least once a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,0.003457248921782897,0.2895610024762518,Chi-square,ALL,True,At least once a week fans are 71% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing with toys and board gamess.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Taking part in an organised activity,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,0.00030010307348998376,0.377686582189392,Chi-square,ALL,True,Several times a week fans are 62% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Taking part in an organised activity,Several times a week,"TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching sport in person, e.g., in a stadium, at a venue",Less often,0.012364131016545274,0.4920437049447514,Chi-square,ALL,True,"Several times a week fans are 51% less likely to say 'Less often' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching sport in person, e.g., in a stadium, at a venues."
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Several times a week,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing sport,Several times a week,0.015033296799822373,0.23813177758902712,Chi-square,ALL,True,Several times a week fans are 76% less likely to say 'Several times a week' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? playing sports.
TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Playing with toys and board games,Everyday,age_group,6-9,3.2547731349019084e-05,0.2895219259412375,Chi-square,ALL,True,Everyday fans are 71% less likely to say '6-9' is their favourite when it comes to age groups.
"TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching sport in person, e.g., in a stadium, at a venue",At least once a week,age_group,6-9,0.01805255290322508,0.40559612667079714,Chi-square,ALL,True,At least once a week fans are 59% less likely to say '6-9' is their favourite when it comes to age groups.
Which one toy can you not live without? Which one toy can your child not live without?,1,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),0.00042941736372853175,0.20981988132120774,Chi-square,ALL,True,1 fans are 79% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
Qj - What is your gender?,Female,Qh - Qh - What is your age?,35.0,0.0005369807239916544,-0.46514714611100755,T-test,gender=Girl/Female,True,Female fans are 147% less likely to say '35.0' is their favourite when it comes to qh - qh - what is your age?s.
Qj - What is your gender?,Female,QfUK - What is your child's ethnic group?,White - Includes any White background,0.0007786948255669175,0.25663893071691074,Chi-square,gender=Girl/Female,True,Female fans are 74% less likely to say 'White - Includes any White background' is their favourite when it comes to qfuk - what is your child's ethnic group?s.
QfUK - What is your child's ethnic group?,White - Includes any White background,Qh - Qh - What is your age?,35.0,0.0006318333022425074,,ANOVA,gender=Girl/Female,True,White - Includes any White background fans are more likely to say '35.0' is their favourite when it comes to qh - qh - what is your age?s.
HHI_UK - What is your annual household income? By this we mean the total annual income of everyone who lives in your household with you.,"£50,000 - £74,999",Qh - Qh - What is your age?,35.0,0.0039696588687588895,,ANOVA,gender=Girl/Female,True,"£50,000 - £74,999 fans are more likely to say '35.0' is their favourite when it comes to qh - qh - what is your age?s."
Please tell us three toys or toy brands that you like right now. Please tell us three toys or toy brands that your child likes right now. 2,Lego,Qh - Qh - What is your age?,35.0,0.04972768771293238,,ANOVA,gender=Girl/Female,True,Lego fans are more likely to say '35.0' is their favourite when it comes to qh - qh - what is your age?s.
